Adv Roll No,SC
242019575,1927
241059005,1928
241049682,1929
245067095,1930
241053023,1931
245064046,1932
242034398,1933
242004330,1934
241005113,1935
242058410,1936
247053178,1937
242007222,1938
242013387,1939
242024293,1940
241109463,1941
246088475,1942
245067062,1943
241128132,1944
246019091,1945
244025018,1946
246090291,1947
242049045,1948
241041040,1949
247035073,1950
242091107,1951
247024462,1952
241045022,1953
245060034,1954
247004331,1955
243030152,1956
243026074,1957
244065060,1958
242077137,1959
241084124,1960
245065075,1961
245050190,1962
247020008,1963
242072182,1964
246135297,1965
247051466,1966
241121052,1967
246052164,1968
246130011,1969
242027297,1970
246172188,1971
246018057,1972
246155087,1973
247035554,1974
245062512,1975
242094022,1976
247045155,1977
246023195,1978
244009021,1979
243043087,1980
243010109,1981
243048057,1982
246039274,1983
242089033,1984
246017051,1985
244011114,1986
241005224,1987
241051095,1988
242056047,1989
242074029,1990
241106027,1991
246027353,1992
244076121,1993
246119179,1994
244024140,1995
241134089,1996
245005163,1997
241136169,1998
247039274,1999
247008298,2000
242092072,2001
245063377,2002
241110255,2003
242024256,2004
244010349,2005
242083287,2006
242088172,2007
246159114,2008
242022348,2009
246050097,2010
241102069,2011
246039930,2012
241053223,2013
241135643,2014
243039121,2015
246171286,2016
242008128,2017
246069077,2018
246008211,2019
243014079,2020
242075289,2021
245032239,2022
244021158,2023
241039170,2024
241153114,2025
241087145,2026
247039104,2027
241107181,2028
244030235,2029
241116386,2030
246166062,2031
247012044,2032
247035667,2033
244021079,2034
242059022,2035
245063335,2036
241135160,2037
241115092,2038
241087190,2039
242064346,2040
245068041,2041
246156292,2042
241116120,2043
246130123,2044
246148035,2045
241054176,2046
242015272,2047
247032033,2048
245015188,2049
247010002,2050
241061132,2051
241149060,2052
241133040,2053
246022048,2054
244052185,2055
242085091,2056
245009283,2057
246019026,2058
241114167,2059
244025452,2060
245022323,2061
246039178,2062
241099039,2063
242026101,2064
245066191,2065
241032103,2066
247031057,2067
245058285,2068
242016247,2069
247004541,2070
245030426,2071
242098095,2072
246101100,2073
246151089,2074
247012034,2075
244020311,2076
