Adv Roll No,CRL,SC
244001082,19660,586
244024289,19674,587
242086007,19675,588
245019050,19688,589
241101836,19708,590
246011117,19716,591
242073291,19736,592
246032073,19767,593
246054085,19876,594
241052052,19897,595
241041003,19899,596
241137065,19902,597
241134083,20022,598
242050030,20032,599
242080116,20070,600
241114079,20100,601
246140165,20102,602
242054070,20121,603
246048139,20126,604
246120136,20129,605
241069102,20218,606
245057252,20296,607
246161512,20337,608
241128249,20341,609
244008169,20381,610
245020283,20459,611
244036426,20467,612
243035026,20474,613
244034090,20539,614
244039239,20564,615
246096112,20575,616
241120051,20581,617
244041071,20619,618
242088048,20636,619
243013188,20644,620
245032113,20663,621
244015678,20689,622
247006052,20690,623
245010108,20702,624
246138049,20846,625
245064054,20893,626
241048148,20915,627
246052465,20943,628
241052129,20964,629
243003099,21084,630
241110104,21088,631
242003080,21102,632
244065209,21112,633
246047107,21113,634
242031394,21130,635
241103278,21137,636
246192283,21154,637
247035633,21162,638
242075494,21180,639
242007165,21186,640
242050091,21200,641
243004414,21202,642
245064104,21227,643
241088023,21263,644
245054066,21273,645
241129069,21311,646
246088480,21373,647
246022165,21380,648
246190025,21381,649
247003022,21389,650
244043036,21407,651
241130075,21424,652
241048093,21456,653
245064408,21458,654
247048049,21468,655
241082226,21473,656
246161296,21501,657
246153287,21583,658
241133088,21593,659
243002135,21601,660
241083449,21627,661
241134183,21635,662
244040202,21649,663
246111162,21681,664
245056039,21689,665
241005148,21709,666
241133607,21736,667
241049315,21742,668
245056128,21789,669
241114131,21801,670
242022011,21809,671
242075073,21835,672
241128157,21864,673
241003622,21870,674
241058047,21919,675
242084222,21941,676
246038180,22010,677
242045381,22108,678
245058033,22115,679
247035204,22119,680
244041155,22152,681
247026052,22177,682
241140015,22192,683
242099035,22202,684
246089177,22213,685
242088174,22261,686
241001104,22264,687
243034153,22287,688
245060101,22288,689
242052205,22370,690
242029259,22388,691
246161052,22426,692
245061022,22472,693
242013070,22479,694
242009174,22481,695
247037013,22539,696
241049264,22557,697
246040129,22560,698
246191123,22575,699
245038236,22603,700
244002134,22613,701
247033164,22653,702
242033001,22675,703
245053105,22725,704
241109197,22752,705
241129007,22780,706
242069266,22786,707
244048205,22810,708
243031214,22812,709
247021096,22815,710
245057130,22818,711
243052543,22826,712
244042065,22900,713
246168070,22941,714
241013113,23009,715
246150284,23077,716
247018503,23079,717
242062183,23099,718
241049250,23136,719
247048102,23210,720
241152031,23232,721
244015495,23241,722
241048178,23261,723
241053296,23297,724
245064219,23302,725
243038141,23310,726
241071095,23368,727
246053448,23399,728
241053289,23411,729
242043270,23417,730
247051270,23430,731
246052140,23499,732
241049665,23539,733
246163536,23540,734
246141187,23579,735
247008278,23585,736
244001292,23607,737
242041342,23615,738
246090100,23640,740
243052546,23644,741
247011274,23672,742
242041045,23695,743
242099066,23700,744
242034367,23710,745
