Adv Roll No,CRL,SC
256097090,17633,488
252031356,17639,489
256121252,17667,490
253017059,17719,491
252010119,17794,492
254030113,17804,493
252073262,17805,494
254007031,17812,495
252086166,17884,497
255030510,17899,498
251138046,17920,499
251050358,17937,500
251138042,17978,501
257001423,17985,502
252031465,18020,503
256038160,18053,504
252098026,18112,505
252076042,18220,506
255063163,18224,507
252099162,18230,508
254036113,18233,509
251048228,18261,510
252049342,18282,511
255039022,18298,512
251111151,18326,513
255066181,18335,514
252084225,18357,515
254060144,18376,516
257002323,18419,517
252092374,18445,518
254044160,18464,519
252052082,18474,520
253002023,18485,521
255059033,18510,523
253022889,18514,524
254065249,18517,525
254042376,18518,526
256052228,18586,527
251142224,18633,528
251112092,18663,529
254043453,18748,530
252013458,18765,531
252019197,18791,533
255066019,18827,534
254045113,18862,535
253039047,18884,536
256161341,18914,537
254001260,18916,538
252016238,18930,539
256162348,18945,540
252101235,18986,541
255065294,18989,542
256058345,18995,543
252060087,19009,544
255006049,19017,545
252004388,19036,546
257029130,19066,547
252035078,19082,548
251113069,19146,549
252084101,19172,550
257023448,19175,551
251048235,19226,552
251013005,19227,553
251027021,19231,554
256099169,19372,555
256043206,19407,556
256169093,19413,557
257045192,19419,558
254042249,19429,559
256150046,19490,560
256148383,19496,561
254006136,19499,562
254063159,19506,563
257014372,19557,564
254035368,19644,565
257037387,19649,566
252060456,19673,567
256061327,19675,568
251149008,19677,569
255065185,19701,570
255063079,19720,571
257034370,19754,572
252047111,19758,573
251007392,19768,574
256019179,19860,575
255064201,19867,576
256019058,19900,577
253030027,19931,578
256181033,19967,579
257052125,19978,580
257054329,19988,581
251112097,20004,582
254034148,20027,583
252052206,20065,584
254004357,20080,585
256170435,20124,586
256166128,20176,587
255064518,20177,588
257023224,20178,589
255064079,20242,590
252040077,20287,591
256057416,20304,592
257034083,20349,593
256055328,20411,594
251146281,20466,595
254023088,20468,596
252061054,20527,597
252070052,20565,598
257032100,20614,599
251051094,20617,600
254032348,20640,601
257043306,20720,602
256195323,20736,603
251007061,20749,604
252010216,20763,605
257037281,20771,606
253046135,20822,607
251143170,20872,608
256003092,20891,609
253033085,20895,610
252056397,20899,611
252013266,20913,612
253030073,20965,613
251121166,20967,614
257001444,20979,615
256043504,21007,616
254025176,21012,617
257040089,21014,618
252101338,21027,619
251016040,21047,620
252080418,21093,621
251161036,21103,622
251118339,21105,623
253049246,21115,624
255017477,21154,625
252098160,21161,626
254030381,21162,627
256147476,21208,628
256095133,21237,629
255053178,21245,630
253024254,21319,631
255009058,21328,632
257016603,21331,633
253049628,21347,634
257022240,21349,635
252105145,21428,636
256057296,21442,637
251122200,21469,638
251135136,21472,639
252061162,21535,640
252054043,21543,642
252082032,21596,644
255058378,21606,645
251039264,21735,646
255066577,21744,647
251109067,21785,648
252004543,21787,649
255023481,21789,650
251117429,21796,651
253049573,21799,652
251022016,21803,653
257041135,21855,654
256137017,21872,655
254044047,21873,656
256149278,21877,657
256181120,21899,658
256193025,21902,659
251125331,21921,660
255068158,21959,661
254031298,22074,662
257028098,22083,663
251121268,22092,664
257009140,22093,665
252093230,22103,666
251147158,22140,667
254028081,22157,669
255055126,22162,670
256122311,22205,671
257013284,22207,672
257054159,22267,673
254057172,22330,674
251113133,22340,675
256048013,22448,676
257017032,22528,677
256046030,22535,678
257013423,22542,679
253023149,22578,680
256035071,22600,681
252072058,22606,682
253032075,22617,683
254044239,22633,684
252077180,22681,686
252033165,22708,687
251053119,22747,688
251147073,22775,689
257001261,22780,690
254049147,22791,691
251118025,22806,692
257005164,22881,693
251141210,22885,694
256014156,22899,695
255053093,22915,696
251060030,22962,697
256099153,22965,698
255027186,22975,699
256058045,22999,700
255068079,23008,701
253021084,23022,702
257045033,23023,703
256171215,23089,704
255064285,23112,705
251117488,23117,706
257029259,23135,707
255063241,23136,708
255063267,23171,709
251159304,23204,710
256010026,23254,711
252058205,23309,712
251146180,23316,713
252005333,23317,714
251130366,23353,715
257036033,23409,716
257026134,23429,718
251051069,23437,719
251050620,23556,720
254035421,23560,721
254042478,23593,722
255052128,23612,723
255064020,23669,724
257039425,23685,725
252090134,23784,726
255010061,23795,727
252021171,23836,728
252028088,23841,729
251147056,23859,730
254047115,23987,731
251015059,24010,732
256015175,24102,733
252014119,24119,734
252028142,24136,735
256002076,24167,736
251048173,24188,737
257043147,24190,738
254001389,24220,739
256071268,24265,740
256035023,24275,741
252033021,24280,742
256158157,24346,743
256053049,24356,744
251105216,24367,745
254006107,24370,746
251121225,24373,747
253049513,24389,748
257029127,24390,749
251117400,24470,750
251047073,24480,751
254011168,24489,752
252082138,24510,753
256071180,24520,754
251122217,24572,755
251082439,24576,756
257028372,24598,757
257037421,24617,758
251084045,24636,759
251050593,24706,760
251127065,24713,761
255015139,24730,762
251141548,24739,763
252003244,24746,764
254040289,24752,765
252051360,24757,766
254038056,24759,767
255056179,24852,769
256122361,24857,770
255047223,24874,771
251141166,24883,772
255055405,24901,773
252051050,24913,774
255023041,24921,775
252072150,24922,776
251007741,24931,777
257017021,24972,778
256095432,24975,779
256010027,24990,780
252009140,25019,781
251139081,25071,782
254061078,25086,783
256108104,25091,784
257020053,25175,785
256177213,25180,786
255050012,25218,787
254060159,25243,788
251148071,25250,789
253049627,25295,790
251047313,25297,791
257028027,25384,793
251081071,25403,794
251113123,25428,795
257054029,25440,796
255018146,25469,797
254036098,25477,798
251019041,25486,799
257053044,25522,800
256160024,25552,801
257028083,25558,802
256145094,25608,804
252098195,25645,805
252101378,25648,806
251149042,25656,807
257027579,25680,808
251151006,25703,809
252064315,25736,810
251046016,25826,811
252011037,25827,812
257023280,25837,813
256131174,25868,814
256057448,25889,815
252034222,25893,816
255038190,25895,817
252032241,25941,818
251052048,25961,819
255017372,25963,820
255053107,25981,821
257014311,26011,823
252080098,26016,824
257037444,26019,825
255051279,26022,826
253025097,26024,827
257027321,26035,829
251117224,26048,830
257027092,26057,831
251069031,26068,832
252010285,26072,834
254056256,26094,835
255047228,26103,836
256021160,26140,837
257037274,26157,838
254032103,26174,839
251082442,26177,840
254016238,26180,841
251141463,26195,843
251110084,26213,844
256061414,26224,845
253049273,26251,846
257020174,26273,847
256052065,26328,848
257014551,26341,849
251060021,26350,850
251157139,26362,851
257037180,26387,852
251142630,26417,853
252105203,26448,854
253012360,26481,855
252093186,26491,856
251145388,26506,857
254020305,26528,858
256052053,26545,859
256119101,26560,860
257044385,26579,861
255055482,26601,863
252002063,26627,864
251090326,26683,865
254019209,26722,866
251120235,26728,867
252084168,26751,869
251117564,26803,870
251050040,26815,871
257039242,26836,872
251145450,26838,873
257026222,26845,874
256173001,26940,875
252099126,26941,876
256010140,27023,878
251110453,27067,879
256119242,27102,880
254011481,27116,881
257014496,27135,882
256102098,27184,883
256175269,27215,884
255067191,27256,885
251007518,27303,886
254055022,27304,887
252084220,27305,888
252007320,27320,889
252010409,27345,890
251089193,27363,891
256024081,27385,892
251032042,27432,893
252048215,27444,894
254038250,27475,895
257045061,27488,896
256169425,27490,897
256019094,27497,898
254030180,27501,899
252016436,27511,900
255051187,27551,901
251145086,27583,902
254040259,27616,904
251043118,27626,905
251117194,27687,906
252080406,27712,907
251145068,27730,908
251117580,27756,909
251110605,27771,910
254030439,27810,911
256006117,27838,912
252084402,27866,913
251108385,27892,914
252104125,27895,915
257029300,27916,916
251046043,27936,917
251124099,28057,918
257043429,28129,919
256174415,28144,920
256115230,28172,921
251105072,28184,922
251109254,28193,923
251071685,28222,924
251068157,28240,925
252104233,28247,926
252027287,28280,927
254018177,28302,928
256083007,28303,929
255027170,28312,931
254014344,28332,932
253049064,28355,933
252054094,28363,934
257005128,28366,935
256049039,28408,936
256052180,28438,937
254005182,28456,938
256005001,28495,939
251124158,28517,940
252011043,28536,941
252007189,28574,942
252054141,28576,943
252060180,28587,944
256126034,28592,945
252050207,28596,946
256161302,28610,947
251083077,28614,948
257004054,28630,949
251050090,28631,950
252058026,28635,951
251117401,28679,952
257018293,28692,953
