Adv Roll No,SC
255066063,954
252085226,955
254038025,956
256045209,957
255064044,958
257029051,959
251062122,960
251096189,961
251147071,962
252077022,963
254003353,964
251141181,965
254063106,966
251143048,967
251141283,968
252067160,969
253047064,970
252081119,971
251134064,972
253022120,973
252006282,974
257040216,975
257030167,976
256179169,977
257030074,978
256174076,979
254037164,980
251087054,981
251117138,982
256004294,983
254044248,984
253025360,985
253034185,986
254032081,987
251112042,988
252080178,989
251133035,990
252062109,991
256028471,992
255066307,993
254063109,994
252074022,995
256177158,996
251101271,997
255026036,998
256021078,999
252080379,1000
252056119,1001
252084364,1002
257014647,1003
253049619,1004
252103155,1005
251143185,1006
255061096,1007
256042409,1008
251057130,1009
257043259,1010
252077165,1011
255066223,1012
255059005,1013
256132003,1014
256166471,1015
252031407,1016
256128090,1017
256051290,1018
256166290,1019
252079134,1020
256054057,1021
255035063,1022
254002473,1023
252050043,1024
251128054,1025
254022246,1026
256159447,1027
252059352,1028
251007504,1029
251142489,1030
255038063,1031
257045357,1032
254034213,1033
251118271,1034
251146014,1035
252102212,1036
251117156,1037
254005355,1038
252032122,1039
252051217,1040
254004236,1041
257054190,1042
254052279,1043
251083097,1044
256043316,1045
254034282,1046
252005115,1047
251118327,1048
257045138,1049
254065075,1050
254050409,1051
254042060,1052
251120177,1053
252047417,1054
252101101,1055
254033340,1056
255066132,1057
252006116,1058
256164276,1059
256039368,1060
251104145,1061
253021383,1062
256166899,1063
256178191,1064
251153045,1065
251070298,1066
251145191,1067
257020454,1068
251108373,1069
252103131,1070
257020303,1071
254054121,1072
255053233,1073
252033020,1074
256141070,1075
256171170,1076
254057173,1077
252102315,1078
252006090,1079
255058080,1080
251058057,1081
251142569,1082
252032375,1083
255047085,1084
255030096,1085
256100099,1086
252048061,1087
252064053,1088
251114064,1089
251158040,1090
253004045,1091
255017392,1092
254033041,1093
256111222,1094
255016165,1095
255070113,1096
255036187,1097
256073043,1098
257030193,1099
251007742,1100
252005114,1101
252015266,1102
251111042,1103
257041037,1104
252040056,1105
251110355,1106
251140028,1107
257020273,1108
252084342,1109
252031105,1110
256174087,1111
251091316,1112
251139018,1113
253002060,1114
256044159,1115
251120104,1116
255055313,1117
251120202,1118
252077034,1119
257015163,1120
255063272,1121
256028061,1122
252104298,1123
251011030,1124
